IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700::ecf8:4cf4:c8cb:b35f,4,4,0.00,204.61,13.10
2606:4700:0:82de:383d:4312:bf4d:4def,4,4,0.00,204.01,10.50
2606:4700::ec0c:96af:66c5:3eca,4,4,0.00,204.44,9.51
2606:4700::2743:b026:d7fe:154d,4,4,0.00,204.40,8.32
2606:4700:0:82de:69f1:52c:dda1:7e8a,4,4,0.00,204.06,6.18
2606:4700:0:82de:38af:9f7c:5a89:5da0,4,4,0.00,204.79,2.13
2606:4700::ec0c:9616:c923:3a59,4,4,0.00,204.73,1.59
2606:4700:0:9cda:fcb9:d373:9d5e:4f0d,4,4,0.00,204.57,1.15
2606:4700:0:82de:387b:72b5:5ebc:a4d3,4,4,0.00,204.82,1.10
