IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),国家代码
8.222.219.140,4,4,0.00,228.22,0.01,SG
47.57.233.126,4,4,0.00,59.83,0.00,HK
47.57.245.232,4,4,0.00,61.59,0.00,HK
47.242.218.87,4,4,0.00,62.02,0.00,HK
8.212.14.90,4,4,0.00,63.48,0.00,HK
8.219.245.214,4,4,0.00,90.58,0.00,SG
8.219.243.132,4,4,0.00,93.84,0.00,SG
8.219.255.49,4,4,0.00,94.09,0.00,SG
8.219.97.248,4,4,0.00,94.82,0.00,SG
8.219.228.81,4,4,0.00,95.27,0.00,SG
144.24.95.220,4,4,0.00,101.13,0.00,KR
158.180.75.201,4,4,0.00,109.11,0.00,KR
155.248.248.205,4,4,0.00,143.97,0.00,IN
141.148.203.6,4,4,0.00,149.71,0.00,IN
150.230.204.132,4,4,0.00,182.47,0.00,JP
155.248.182.161,4,4,0.00,182.92,0.00,JP
155.248.178.95,4,4,0.00,185.49,0.00,JP
150.230.63.93,4,4,0.00,188.36,0.00,JP
141.147.147.28,4,4,0.00,190.21,0.00,JP
155.248.169.118,4,4,0.00,192.08,0.00,JP
141.147.160.166,4,4,0.00,193.15,0.00,JP
141.144.198.121,4,4,0.00,199.05,0.00,NL
152.70.51.3,4,4,0.00,201.19,0.00,NL
152.67.125.161,4,4,0.00,201.50,0.00,AU
130.162.34.176,4,4,0.00,202.21,0.00,DE
141.144.196.32,4,4,0.00,204.45,0.00,NL
152.70.59.138,4,4,0.00,209.09,0.00,NL
146.56.172.166,4,4,0.00,217.38,0.00,KR
141.144.198.93,4,4,0.00,224.00,0.00,NL
8.222.255.80,4,4,0.00,227.22,0.00,SG
8.212.12.98,4,4,0.00,60.01,0.00,HK
130.162.209.188,4,4,0.00,230.56,0.00,DE
8.222.139.227,4,4,0.00,230.86,0.00,SG
143.47.247.120,4,4,0.00,231.52,0.00,GB
152.67.142.42,4,4,0.00,233.16,0.00,GB
150.230.118.203,4,4,0.00,234.42,0.00,GB
144.21.42.2,4,4,0.00,235.71,0.00,NL
141.145.205.115,4,4,0.00,236.98,0.00,FR
141.148.245.210,4,4,0.00,237.65,0.00,NL
152.69.209.132,4,4,0.00,245.21,0.00,SG
144.24.174.149,4,4,0.00,245.58,0.00,DE
144.21.59.145,4,4,0.00,245.83,0.00,GB
141.144.197.136,4,4,0.00,254.24,0.00,NL
152.67.140.249,4,4,0.00,258.84,0.00,GB
143.47.183.52,4,4,0.00,262.55,0.00,NL
130.162.174.117,4,4,0.00,263.78,0.00,GB
129.151.198.3,4,4,0.00,264.24,0.00,SE
150.136.87.192,4,4,0.00,265.83,0.00,US
47.253.171.149,4,4,0.00,266.32,0.00,US
141.148.235.197,4,4,0.00,279.77,0.00,NL
141.147.71.121,4,4,0.00,291.90,0.00,GB
152.67.151.176,4,4,0.00,299.50,0.00,GB
144.22.252.124,4,4,0.00,386.50,0.00,BR
8.212.65.162,4,3,0.25,60.51,0.00,HK
8.219.254.1,4,3,0.25,93.85,0.00,SG
8.219.63.79,4,3,0.25,94.09,0.00,SG
8.219.236.218,4,3,0.25,95.73,0.00,SG
146.56.110.3,4,3,0.25,98.10,0.00,KR
146.56.96.206,4,3,0.25,103.95,0.00,KR
8.220.134.136,4,3,0.25,105.19,0.00,PH
152.67.190.105,4,3,0.25,150.09,0.00,IN
141.147.185.208,4,3,0.25,183.20,0.00,JP
155.248.170.249,4,3,0.25,188.20,0.00,JP
130.61.124.127,4,3,0.25,201.31,0.00,DE
47.251.95.178,4,3,0.25,208.85,0.00,US
193.123.254.142,4,3,0.25,212.14,0.00,KR
129.153.203.62,4,3,0.25,213.53,0.00,US
152.70.93.246,4,3,0.25,215.11,0.00,KR
141.144.201.12,4,3,0.25,217.65,0.00,NL
152.70.253.44,4,3,0.25,218.21,0.00,KR
132.145.94.80,4,3,0.25,219.82,0.00,KR
129.154.202.229,4,3,0.25,220.43,0.00,KR
132.145.245.100,4,3,0.25,224.04,0.00,DE
138.2.81.71,4,3,0.25,225.91,0.00,SG
8.222.129.215,4,3,0.25,229.56,0.00,SG
168.138.165.174,4,3,0.25,230.22,0.00,SG
129.150.53.218,4,3,0.25,230.57,0.00,SG
8.222.169.19,4,3,0.25,231.17,0.00,SG
8.222.223.112,4,3,0.25,232.62,0.00,SG
8.222.213.251,4,3,0.25,233.23,0.00,SG
47.74.155.26,4,3,0.25,234.34,0.00,SG
141.147.85.167,4,3,0.25,239.09,0.00,GB
141.147.47.32,4,3,0.25,242.87,0.00,DE
193.122.58.158,4,3,0.25,260.31,0.00,DE
141.147.71.187,4,3,0.25,268.26,0.00,GB
143.47.189.30,4,3,0.25,270.04,0.00,NL
150.230.123.106,4,3,0.25,273.10,0.00,GB
130.162.165.64,4,3,0.25,274.73,0.00,GB
150.230.121.114,4,3,0.25,294.48,0.00,GB
132.226.163.224,4,3,0.25,387.13,0.00,BR
193.123.35.178,4,2,0.50,182.23,0.00,NL
152.67.99.162,4,2,0.50,193.28,0.00,AU
141.148.230.89,4,2,0.50,196.43,0.00,NL
192.9.180.162,4,2,0.50,200.53,0.00,AU
47.254.86.133,4,2,0.50,208.59,0.00,US
140.238.31.168,4,2,0.50,210.87,0.00,KR
132.226.234.102,4,2,0.50,215.33,0.00,KR
152.70.240.162,4,2,0.50,217.49,0.00,KR
131.186.27.112,4,2,0.50,220.00,0.00,KR
129.154.194.191,4,2,0.50,233.56,0.00,KR
8.222.165.104,4,2,0.50,234.61,0.00,SG
150.230.194.74,4,1,0.75,181.53,0.00,JP
132.226.16.97,4,1,0.75,212.88,0.00,KR
